bar,beer,date,startquantity,endquantity
"Discreet Elderberry Pub","Lawnmower Lager",2018-11-09,160,160
"Regular Drum Tavern","Deviator Doppelbock",2018-11-09,129,129
"Hungry Vanilla Bean Tavern","Caldera Ginger Beer",2018-11-09,229,229
Anchor,"Amstel Bock",2018-11-09,207,207
"Naughty Bean Inn","Hopportunity Knocks",2018-11-09,152,152
"Tasty Fairy Tavern","Amstel Gold",2018-11-09,129,129
"Latino Magpie","Amstel Bright",2018-11-09,130,130
"Fluffy Husband","Hibiscus Ginger Beer",2018-11-09,135,135
"Shouting Snake Inn",Hefeweizen,2018-11-09,225,225
"Chinese Oak","Cauldron Espresso Stout",2018-11-09,154,154
"Original Horse Brewpub","Hibiscus Ginger Beer",2018-11-09,160,160
"Jaded Pants Pub","Blue Whale Ale",2018-11-09,183,183
"Deep Glass Bar","Orca Porter",2018-11-09,231,231
"Absent Snow","North Beach Ale",2018-11-09,211,211
"Windy Harp","Viven Porter",2018-11-09,184,184
"Quickest Doves","Orca Porter",2018-11-09,234,234
"Hoppy Apple Brewhouse","Caldera Pilsener Bier",2018-11-09,189,189
"Nimble Stream Pub","Columbus India Pale Ale",2018-11-09,234,234
"Molten Ants Bar","Grey Whale Ale",2018-11-09,210,210
"Scared Crossbow Tavern","Celebration Ale",2018-11-09,155,155
"Sudden Octopus","Leviathan Imperial Stout",2018-11-09,207,207
"Blue City","Viven Porter",2018-11-09,227,227
"Daily Barracuda Inn","Southside Strong",2018-11-09,207,207
"Unusual Truffle","Pilot Rock Porter",2018-11-09,179,179
"Famous Tiger Pub","Caldera Oatmeal Stout",2018-11-09,227,227
"Iron Tigress Inn","Hop Hash",2018-11-09,180,180
"Loud Elderberry Bar","Yellowjacket Ale",2018-11-09,185,185
"Hidden Lady Parlor","Inspiration Ale",2018-11-09,208,208
"Spirited Brew Saloon","Caldera Pale Ale",2018-11-09,159,159
"Clever Child","Killer Whale Stout",2018-11-09,182,182
"Poor Bats Inn","Holiday Trappist Style Ale",2018-11-09,159,159
"Atomic Liquors","North Beach Ale",2018-11-09,158,158
"Impossible Fire","Viven Porter",2018-11-09,238,238
"Rusty Sailor Outpost","Emerald Ale",2018-11-09,156,156
"Dramatic Crabs","Viven Porter",2018-11-09,204,204
"Twelve Spider Inn","Viven Porter",2018-11-09,164,164
"New Spider Bar","Deviator Doppelbock",2018-11-09,231,231
"Peaceful Bison","Grey Whale Ale",2018-11-09,181,181
"Discreet Elderberry Pub","Amstel Gold",2018-11-09,139,139
"Gifted Zebra Tavern",Megalodon,2018-11-09,232,232
Anchor,"St. Stephen's Bock",2018-11-09,131,131
"Laughing Elephant Tavern","Red Moon",2018-11-09,202,202
"Tasty Fairy Tavern","Hop Hash",2018-11-09,134,134
"Ye Olde Lord Bar","Amstel Lentebock",2018-11-09,209,209
"Sore Head","Holiday Ale",2018-11-09,157,157
"Shouting Snake Inn","Amstel Bock",2018-11-09,238,238
"Responsible Chair","Amstel Gold",2018-11-09,233,233
"Hungry Vanilla Bean Tavern","Cauldron DIPA",2018-11-09,133,133
"Naughty Bean Inn","Honey Fayre",2018-11-09,129,129
"Foamy Cave","Holiday Ale",2018-11-09,231,231
"Deep Glass Bar","Blue Whale Ale",2018-11-09,209,209
"Absent Snow","Dry Stout",2018-11-09,229,229
"Chinese Oak","Orca Porter",2018-11-09,159,159
"Original Horse Brewpub","Caldera Oatmeal Stout",2018-11-09,204,204
"Jaded Pants Pub","Celebration Ale",2018-11-09,157,157
"Windy Harp","Ballz Deep Double IPA",2018-11-09,183,183
"Oceanic Knight Inn","Dry Stout",2018-11-09,155,155
"Daily Barracuda Inn","Grey Whale Ale",2018-11-09,179,179
"Quickest Doves","Amstel Malt",2018-11-09,134,134
"Scary Kiwi","Swamp Fox IPA",2018-11-09,184,184
"Molten Ants Bar","Amstel Light",2018-11-09,232,232
"Hoppy Apple Brewhouse","Amstel Lentebock",2018-11-09,188,188
"Fascinated Chick Pub","Telford Porter",2018-11-09,181,181
"Sudden Octopus","Telford Porter",2018-11-09,133,133
"Brave Olive Pub","Amstel Malt",2018-11-09,208,208
"Unusual Truffle","Hopportunity Knocks",2018-11-09,134,134
"Clever Child","Schinderhannes Bock",2018-11-09,234,234
"Iron Tigress Inn","Nut Brown",2018-11-09,213,213
"Loud Elderberry Bar","Caldera Ginger Beer",2018-11-09,230,230
"Spirited Brew Saloon","Caldera Oatmeal Stout",2018-11-09,137,137
"Hidden Lady Parlor","Caldera Oatmeal Stout",2018-11-09,134,134
"Proud Spiders","Southside Strong",2018-11-09,156,156
"Impossible Fire","Leviathan Imperial Stout",2018-11-09,232,232
"Atomic Liquors","Coconut Porter",2018-11-09,235,235
"Discreet Elderberry Pub","Red Moon",2018-11-09,209,209
Anchor,"Old Growth Imperial Stout",2018-11-09,159,159
"Peaceful Bison","Celebration Ale",2018-11-09,135,135
"Ruthless Chestnut","Cauldron Brew",2018-11-09,228,228
"Dramatic Crabs","Imperial Stout",2018-11-09,181,181
"Twelve Spider Inn","Ashland Amber",2018-11-09,135,135
"Skinny Guitar","Dry Hop Red",2018-11-09,150,150
"Laughing Elephant Tavern","Caldera Ginger Beer",2018-11-09,136,136
"Tasty Fairy Tavern","Amstel Lentebock",2018-11-09,157,157
"New Spider Bar","Holiday Imperial",2018-11-09,235,235
"Gifted Zebra Tavern","Newark IPA",2018-11-09,183,183
"Ye Olde Lord Bar","Lawnmower Lager",2018-11-09,176,176
"Absent Snow","Imperial Stout",2018-11-09,130,130
"Deep Glass Bar","Hibiscus Ginger Beer",2018-11-09,236,236
"Sour Axe Bar","Vas Deferens Ale",2018-11-09,186,186
"Chinese Oak","Amstel Oud Bruin",2018-11-09,230,230
"Naughty Bean Inn","Lawnmower Lager",2018-11-09,155,155
"Responsible Chair","Inspiration Ale",2018-11-09,211,211
"Hungry Vanilla Bean Tavern","Old Oakland Ale",2018-11-09,158,158
"Foamy Cave","Old Growth Imperial Stout",2018-11-09,208,208
"Jaded Pants Pub","Hopportunity Knocks",2018-11-09,231,231
"Original Horse Brewpub","Deviator Doppelbock",2018-11-09,206,206
"Daily Barracuda Inn","North Beach Ale",2018-11-09,235,235
"Molten Ants Bar","The Highland Stagger",2018-11-09,132,132
"Fascinated Chick Pub","Imperial Stout",2018-11-09,181,181
"Scary Kiwi","Celebration Ale",2018-11-09,214,214
"Quickest Doves","Old Oakland Ale",2018-11-09,208,208
"Oceanic Knight Inn","Cauldron DIPA",2018-11-09,132,132
"Windy Harp","Vas Deferens Ale",2018-11-09,137,137
"Brave Olive Pub","Caldera Oatmeal Stout",2018-11-09,212,212
"Clever Child","Telford Porter",2018-11-09,132,132
"Hoppy Apple Brewhouse","Deviator Doppelbock",2018-11-09,177,177
"Sudden Octopus","Amstel Bright",2018-11-09,231,231
"Unusual Truffle","Code Blue",2018-11-09,207,207
"Steel Elf","Old Oakland Ale",2018-11-09,152,152
"Iron Turkey","Holiday Imperial",2018-11-09,230,230
"Loud Elderberry Bar","Red Moon",2018-11-09,137,137
"Impossible Fire","Amstel Light",2018-11-09,129,129
"Proud Spiders","Ashland Amber",2018-11-09,130,130
"Discreet Elderberry Pub","Pilot Rock Porter",2018-11-09,187,187
"Skinny Guitar","Caldera Pale Ale",2018-11-09,207,207
Anchor,"Honey Fayre",2018-11-09,232,232
"Peaceful Bison","Holiday Imperial",2018-11-09,210,210
"Hidden Lady Parlor","Newark IPA",2018-11-09,139,139
"Tasty Fairy Tavern","Dry Hop Red",2018-11-09,178,178
"Laughing Elephant Tavern","Caldera IPA",2018-11-09,161,161
"Atomic Liquors","Holiday Imperial",2018-11-09,208,208
"Ruthless Chestnut","Blue Whale Ale",2018-11-09,132,132
"Earthy Bird Pub","Honey Fayre",2018-11-09,206,206
"New Spider Bar","Cauldron Brew",2018-11-09,206,206
"Twelve Spider Inn","Coconut Porter",2018-11-09,153,153
"Absent Snow","Old Oakland Ale",2018-11-09,181,181
"Deep Glass Bar","Amstel Oud Bruin",2018-11-09,183,183
"Chubby Badger Pub","Dry Hop Orange",2018-11-09,207,207
"Gifted Zebra Tavern","Lawnmower Lager",2018-11-09,184,184
"Sour Axe Bar","Cauldron DIPA",2018-11-09,235,235
"Naughty Bean Inn","Code Blue",2018-11-09,185,185
"Hungry Vanilla Bean Tavern","Pilot Rock Porter",2018-11-09,157,157
"Responsible Chair","Nut Brown",2018-11-09,178,178
"Foamy Cave","Imperial Stout",2018-11-09,160,160
"Jaded Pants Pub","Imperial Stout",2018-11-09,130,130
"Original Horse Brewpub","Vas Deferens Ale",2018-11-09,159,159
"Daily Barracuda Inn","Viven Porter",2018-11-09,185,185
"Fascinated Chick Pub","Red Moon",2018-11-09,207,207
"Quickest Doves","Deviator Doppelbock",2018-11-09,233,233
"Scary Kiwi","Hop Hash",2018-11-09,234,234
"Molten Ants Bar","Blue Whale Ale",2018-11-09,182,182
"Oceanic Knight Inn","Hibiscus Ginger Beer",2018-11-09,230,230
"Clever Child","Vas Deferens Ale",2018-11-09,208,208
"Windy Harp","Imperial Stout",2018-11-09,184,184
"Hoppy Apple Brewhouse","Pumpkin Ale",2018-11-09,182,182
"Brave Olive Pub","Red Moon",2018-11-09,235,235
"Sudden Octopus","Sausa Pils",2018-11-09,136,136
"Venomous River Inn","Pumpkin Ale",2018-11-09,227,227
"Peaceful Bison","Honey Fayre",2018-11-09,208,208
"Steel Elf","Caldera Pilsener Bier",2018-11-09,154,154
"Incredible Sailboat Pub","Leviathan Imperial Stout",2018-11-09,181,181
"Skinny Guitar","Cauldron DIPA",2018-11-09,238,238
Anchor,"Hibiscus Ginger Beer",2018-11-09,233,233
"Proud Spiders","Pilot Rock Porter",2018-11-09,156,156
"Iron Turkey","Honey Fayre",2018-11-09,234,234
"Lying Explorer Tavern","Yellowjacket Ale",2018-11-09,132,132
"Dizzy Lemon Lounge","Code Blue",2018-11-09,203,203
"Teeny Gauntlet Bar","Orca Porter",2018-11-09,206,206
"Laughing Elephant Tavern","Ashland Amber",2018-11-09,187,187
"Hidden Lady Parlor","Holiday Trappist Style Ale",2018-11-09,158,158
"New Spider Bar","Honey Fayre",2018-11-09,186,186
"Awful Salmon Bar","Columbus India Pale Ale",2018-11-09,187,187
"Ruthless Chestnut","Hibiscus Ginger Beer",2018-11-09,177,177
"Earthy Bird Pub","Leviathan Imperial Stout",2018-11-09,208,208
"Absent Snow","Inspiration Ale",2018-11-09,162,162
"Twelve Spider Inn","Southside Strong",2018-11-09,212,212
"Chubby Badger Pub","Dry Hop Red",2018-11-09,127,127
"Gray City",Hefeweizen,2018-11-09,125,125
"Deep Glass Bar","Amstel Bock",2018-11-09,233,233
"Sour Axe Bar","Viven Porter",2018-11-09,208,208
"Naughty Bean Inn","Caldera IPA",2018-11-09,158,158
"Responsible Chair","Viven Porter",2018-11-09,161,161
"Foamy Cave","Viven Porter",2018-11-09,180,180
"Hungry Vanilla Bean Tavern","Caldera Pale Ale",2018-11-09,155,155
"Daily Barracuda Inn","Old Oakland Ale",2018-11-09,152,152
"Jealous Fiddle Pub","Amstel Lentebock",2018-11-09,182,182
"Original Horse Brewpub",Hefeweizen,2018-11-09,235,235
"Fascinated Chick Pub","Sausa Pils",2018-11-09,203,203
"Quickest Doves","Swamp Fox IPA",2018-11-09,161,161
"Scary Kiwi","Cauldron DIPA",2018-11-09,238,238
"Windy Harp","Amstel Bock",2018-11-09,233,233
"Hot Cup Inn","Black Horse Black Beer",2018-11-09,156,156
"Brave Olive Pub","Inspiration Ale",2018-11-09,176,176
"Peaceful Bison","Nut Brown",2018-11-09,206,206
"Oceanic Knight Inn","Old Growth Imperial Stout",2018-11-09,158,158
"Molten Ants Bar","Newark IPA",2018-11-09,155,155
"Clever Child","Pumpkin Ale",2018-11-09,207,207
"Venomous River Inn","Amstel Bright",2018-11-09,178,178
"Skinny Guitar","Caldera Oatmeal Stout",2018-11-09,212,212
"Armed Pudding Bar","Cauldron DIPA",2018-11-09,158,158
"Sweet And Sour Castle Bar","Amstel Lager",2018-11-09,127,127
"Steel Elf","Caldera Ginger Beer",2018-11-09,207,207
"Iron Turkey","Welsh Pride",2018-11-09,235,235
"Incredible Sailboat Pub","Schinderhannes Bock",2018-11-09,154,154
"Teeny Gauntlet Bar","Emerald Ale",2018-11-09,181,181
"Laughing Elephant Tavern","Coconut Porter",2018-11-09,135,135
"Dizzy Lemon Lounge","Coconut Porter",2018-11-09,178,178
"Proud Spiders","The Captain's Porter",2018-11-09,204,204
"Lying Explorer Tavern","Caldera Pilsener Bier",2018-11-09,227,227
"Absent Snow",Megalodon,2018-11-09,153,153
"Awful Salmon Bar","Caldera Oatmeal Stout",2018-11-09,210,210
"Nifty Branch Inn","Welsh Pride",2018-11-09,183,183
"Hidden Lady Parlor","Amstel Bock",2018-11-09,207,207
"Ruthless Chestnut","Pilot Rock Porter",2018-11-09,187,187
"Earthy Bird Pub","Emerald Ale",2018-11-09,134,134
"Twelve Spider Inn","Columbus India Pale Ale",2018-11-09,204,204
"Deep Glass Bar","The Highland Stagger",2018-11-09,209,209
"Gray City","Code Blue",2018-11-09,128,128
"Needy Mind Tavern","Amstel Malt",2018-11-09,180,180
"Chubby Badger Pub","Cauldron Espresso Stout",2018-11-09,164,164
"Sour Axe Bar","Pumpkin Ale",2018-11-09,231,231
"Responsible Chair","The Highland Stagger",2018-11-09,233,233
"Dandy Cloud Bistro","Welsh Pride",2018-11-09,137,137
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-11-09,134,134
"Foamy Cave","Deviator Doppelbock",2018-11-09,179,179
"Fascinated Chick Pub","Caldera Ginger Beer",2018-11-09,134,134
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-11-09,238,238
"Original Horse Brewpub","The Highland Stagger",2018-11-09,159,159
"Quickest Doves","Ashland Amber",2018-11-09,157,157
"Perfect Rabbit Tavern","Cauldron Brew",2018-11-09,181,181
"Skinny Guitar","Honey Fayre",2018-11-09,133,133
"Scary Kiwi",Hefeweizen,2018-11-09,129,129
"Armed Pudding Bar","Dry Hop Red",2018-11-09,182,182
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-11-09,127,127
"Hot Cup Inn","Emerald Ale",2018-11-09,156,156
"Natural Leopard","Imperial Stout",2018-11-09,156,156
"Clever Child","Leviathan Imperial Stout",2018-11-09,232,232
"Windy Harp","Holiday Imperial",2018-11-09,232,232
"Brave Olive Pub","Swamp Fox IPA",2018-11-09,132,132
"Oceanic Knight Inn","Red Moon",2018-11-09,186,186
"Venomous River Inn","Lawnmower Lager",2018-11-09,206,206
"Steel Elf","Celebration Ale",2018-11-09,159,159
"Sweet And Sour Castle Bar","Inspiration Ale",2018-11-09,132,132
"Laughing Elephant Tavern","Orca Porter",2018-11-09,203,203
"Iron Turkey","Dry Stout",2018-11-09,180,180
"Incredible Sailboat Pub","Hopportunity Knocks",2018-11-09,229,229
"Absent Snow","Dry Hop Red",2018-11-09,158,158
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-11-09,155,155
"Proud Spiders","Cauldron Espresso Stout",2018-11-09,179,179
"Lying Explorer Tavern","Amstel Light",2018-11-09,181,181
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-11-09,179,179
"Earthy Bird Pub","Schinderhannes Bock",2018-11-09,186,186
"Nifty Branch Inn","Amstel Bock",2018-11-09,210,210
"Hidden Table Brewpub","Dry Hop Red",2018-11-09,232,232
"Twelve Spider Inn","Dry Stout",2018-11-09,207,207
"Ruthless Chestnut","Code Blue",2018-11-09,179,179
"Deep Lantern","Viven Porter",2018-11-09,128,128
"Chubby Badger Pub","Grey Whale Ale",2018-11-09,181,181
"Gray City","Nut Brown",2018-11-09,178,178
"Dandy Cloud Bistro",Hefeweizen,2018-11-09,205,205
"Needy Mind Tavern","Celebration Ale",2018-11-09,135,135
"Sour Axe Bar","Caldera Oatmeal Stout",2018-11-09,182,182
"Hypnotic Gate Tavern","Caldera IPA",2018-11-09,127,127
"Rich Tauren Bar","Nut Brown",2018-11-09,206,206
"Foamy Cave","Columbus India Pale Ale",2018-11-09,179,179
"Fascinated Chick Pub","Columbus India Pale Ale",2018-11-09,233,233
"Jealous Fiddle Pub","Old Growth Imperial Stout",2018-11-09,132,132
"Skinny Guitar","North Beach Ale",2018-11-09,208,208
"Perfect Rabbit Tavern","Caldera IPA",2018-11-09,234,234
"Armed Pudding Bar","Old Growth Imperial Stout",2018-11-09,211,211
"Original Horse Brewpub","Coconut Porter",2018-11-09,135,135
"Quickest Doves","Exotic Erotic Passion Fruit Ale",2018-11-09,211,211
"Scary Kiwi","Code Blue",2018-11-09,236,236
"Teeny Gauntlet Bar","Pacific Pilsner",2018-11-09,233,233
"Natural Leopard","Pacific Pilsner",2018-11-09,159,159
"Clever Child","Amstel Gold",2018-11-09,212,212
"Windy Harp","Grey Whale Ale",2018-11-09,180,180
"Hot Cup Inn","Amstel Lager",2018-11-09,205,205
"Laughing Elephant Tavern","Sausa Pils",2018-11-09,160,160
"Admiral Benbow Inn","Cauldron Espresso Stout",2018-11-09,132,132
"Sweet And Sour Castle Bar","Deviator Doppelbock",2018-11-09,205,205
"Iron Turkey","Dry Hop Orange",2018-11-09,188,188
"Venomous River Inn","Blue Whale Ale",2018-11-09,153,153
"Oceanic Knight Inn","Honey Fayre",2018-11-09,157,157
"Steel Elf","Amstel Oud Bruin",2018-11-09,128,128
"Brave Olive Pub","Holiday Ale",2018-11-09,211,211
"Incredible Sailboat Pub","Black Horse Black Beer",2018-11-09,133,133
"Dizzy Lemon Lounge","Amstel Light",2018-11-09,239,239
"Lying Explorer Tavern","Columbus India Pale Ale",2018-11-09,182,182
"Proud Spiders","The Highland Stagger",2018-11-09,226,226
"Awful Salmon Bar","Amstel Lentebock",2018-11-09,207,207
"Nifty Branch Inn","Amstel Gold",2018-11-09,210,210
"Earthy Bird Pub","Coconut Porter",2018-11-09,232,232
"Hidden Table Brewpub","Emerald Ale",2018-11-09,225,225
"Ruthless Chestnut","Caldera Ginger Beer",2018-11-09,131,131
"Dandy Cloud Bistro","Cauldron Espresso Stout",2018-11-09,130,130
"Twelve Spider Inn",Hefeweizen,2018-11-09,187,187
"Deep Lantern","Honey Fayre",2018-11-09,164,164
"Gray City","Amstel Lentebock",2018-11-09,138,138
"Chubby Badger Pub","Exotic Erotic Passion Fruit Ale",2018-11-09,161,161
"Needy Mind Tavern","Columbus India Pale Ale",2018-11-09,186,186
"Fascinated Chick Pub","Viven Porter",2018-11-09,207,207
"Spicy Cats Tavern","Honey Fayre",2018-11-09,132,132
"Rich Tauren Bar","Schinderhannes Bock",2018-11-09,161,161
"Hypnotic Gate Tavern","Dry Hop Orange",2018-11-09,211,211
"Skinny Guitar","Welsh Honey Bitter",2018-11-09,158,158
"Foamy Cave","Caldera Ginger Beer",2018-11-09,152,152
"Perfect Rabbit Tavern","Kirner Pils Premium",2018-11-09,232,232
"Jealous Fiddle Pub","The Highland Stagger",2018-11-09,183,183
"Armed Pudding Bar","Hibiscus Ginger Beer",2018-11-09,160,160
"Outrageous Sailboat Inn","Old Growth Imperial Stout",2018-11-09,228,228
"Quickest Doves","Schinderhannes Bock",2018-11-09,232,232
"Teeny Gauntlet Bar","Caldera IPA",2018-11-09,183,183
"Scary Kiwi","Caldera Ginger Beer",2018-11-09,189,189
"Admiral Benbow Inn","Caldera IPA",2018-11-09,203,203
"Courageous Lyre Bar","Caldera Pilsener Bier",2018-11-09,234,234
"Little Elixir Club","Hopportunity Knocks",2018-11-09,228,228
"Venomous River Inn","Newark IPA",2018-11-09,235,235
"Wretched Grape Inn","Amstel Oud Bruin",2018-11-09,232,232
"Oceanic Knight Inn","Blue Whale Ale",2018-11-09,130,130
"Iron Turkey","Red Moon",2018-11-09,129,129
"Natural Leopard","Leviathan Imperial Stout",2018-11-09,201,201
"Hot Cup Inn","Telford Porter",2018-11-09,153,153
"Sweet And Sour Castle Bar","Yellowjacket Ale",2018-11-09,214,214
"Incredible Sailboat Pub","Vas Deferens Ale",2018-11-09,156,156
"Steel Elf","Honey Fayre",2018-11-09,178,178
"Brave Olive Pub","Welsh Pride",2018-11-09,185,185
"Dizzy Lemon Lounge","Hibiscus Ginger Beer",2018-11-09,181,181
"Lying Explorer Tavern","Amstel Lentebock",2018-11-09,234,234
"Proud Spiders","Orca Porter",2018-11-09,165,165
"Earthy Bird Pub","Pacific Pilsner",2018-11-09,230,230
"Awful Salmon Bar","Imperial Stout",2018-11-09,161,161
"Nifty Branch Inn","Columbus India Pale Ale",2018-11-09,211,211
"Hidden Table Brewpub","Swamp Fox IPA",2018-11-09,206,206
"Ruthless Chestnut","Black Horse Black Beer",2018-11-09,231,231
"Dandy Cloud Bistro","Imperial Stout",2018-11-09,158,158
"Twelve Spider Inn","Caldera IPA",2018-11-09,177,177
"Deep Lantern","Amstel Malt",2018-11-09,182,182
"Gray City","Amstel Lager",2018-11-09,180,180
"Needy Mind Tavern","Holiday Imperial",2018-11-09,211,211
"Smelly Crane Tavern","Celebration Ale",2018-11-09,159,159
"Perfect Rabbit Tavern","St. Stephen's Bock",2018-11-09,208,208
"Fascinated Chick Pub","Amstel Malt",2018-11-09,162,162
"Chubby Badger Pub","Lawnmower Lager",2018-11-09,205,205
"Rich Tauren Bar","Holiday Ale",2018-11-09,176,176
"Spicy Cats Tavern","Telford Porter",2018-11-09,161,161
"Hypnotic Gate Tavern","Grey Whale Ale",2018-11-09,211,211
"Foamy Cave","Inspiration Ale",2018-11-09,136,136
"Armed Pudding Bar","Dry Hop Orange",2018-11-09,163,163
"Teeny Gauntlet Bar","Caldera Pale Ale",2018-11-09,132,132
"Jealous Fiddle Pub","Caldera Oatmeal Stout",2018-11-09,134,134
"Rainy Lime Tavern","The Highland Stagger",2018-11-09,185,185
"Outrageous Sailboat Inn","Southside Strong",2018-11-09,136,136
"Admiral Benbow Inn","Orca Porter",2018-11-09,230,230
"Scary Kiwi","Ashland Amber",2018-11-09,130,130
"Little Elixir Club","Amstel Lager",2018-11-09,134,134
"Courageous Lyre Bar","The Highland Stagger",2018-11-09,204,204
"Wretched Grape Inn",Megalodon,2018-11-09,211,211
"Interesting Trumpet Inn","Caldera Pale Ale",2018-11-09,208,208
"Steel Elf","St. Stephen's Bock",2018-11-09,180,180
"Natural Leopard","Yellowjacket Ale",2018-11-09,157,157
"Sweet And Sour Castle Bar","Old Oakland Ale",2018-11-09,203,203
"Venomous River Inn","North Beach Ale",2018-11-09,155,155
"Iron Turkey","Deviator Doppelbock",2018-11-09,210,210
"Oceanic Knight Inn","Amstel Gold",2018-11-09,210,210
"Hot Cup Inn","Holiday Imperial",2018-11-09,179,179
"Brave Olive Pub","Welsh Honey Bitter",2018-11-09,135,135
"Dizzy Lemon Lounge","Schinderhannes Bock",2018-11-09,233,233
"Lying Explorer Tavern","Deviator Doppelbock",2018-11-09,207,207
"Proud Spiders","Exotic Erotic Passion Fruit Ale",2018-11-09,236,236
"Awful Salmon Bar","Black Horse Black Beer",2018-11-09,153,153
"Nifty Branch Inn","Imperial Stout",2018-11-09,128,128
"Hidden Table Brewpub","Old Oakland Ale",2018-11-09,179,179
"Ruthless Chestnut","Vas Deferens Ale",2018-11-09,181,181
"Earthy Bird Pub","Lawnmower Lager",2018-11-09,183,183
"Dandy Cloud Bistro","Amstel Malt",2018-11-09,131,131
"Smelly Crane Tavern","Orca Porter",2018-11-09,156,156
"Deep Lantern","Newark IPA",2018-11-09,155,155
"Twelve Spider Inn","Hibiscus Ginger Beer",2018-11-09,206,206
"Perfect Rabbit Tavern","Amstel Lentebock",2018-11-09,231,231
"Needy Mind Tavern","Exotic Erotic Passion Fruit Ale",2018-11-09,163,163
"Fascinated Chick Pub","Old Oakland Ale",2018-11-09,237,237
"Gray City","Grey Whale Ale",2018-11-09,152,152
"Chubby Badger Pub","Blue Whale Ale",2018-11-09,134,134
"Rich Tauren Bar","Code Blue",2018-11-09,182,182
"Spicy Cats Tavern","Amstel Gold",2018-11-09,229,229
"Armed Pudding Bar","Celebration Ale",2018-11-09,206,206
"Foamy Cave","Lawnmower Lager",2018-11-09,233,233
"Hypnotic Gate Tavern","Emerald Ale",2018-11-09,235,235
"Thundering Table Inn","Amstel Bright",2018-11-09,231,231
"Jealous Fiddle Pub","Holiday Trappist Style Ale",2018-11-09,232,232
"Rainy Lime Tavern","Telford Porter",2018-11-09,229,229
"Admiral Benbow Inn","Code Blue",2018-11-09,230,230
"Outrageous Sailboat Inn","Caldera Ginger Beer",2018-11-09,181,181
"Scary Kiwi","The Highland Stagger",2018-11-09,136,136
"Little Elixir Club","Blue Whale Ale",2018-11-09,187,187
"Courageous Lyre Bar","Pumpkin Ale",2018-11-09,203,203
"Steel Elf","Kirner Pils Premium",2018-11-09,158,158
"Interesting Trumpet Inn","Nut Brown",2018-11-09,181,181
"Wretched Grape Inn","Deviator Doppelbock",2018-11-09,208,208
"Natural Leopard","The Captain's Porter",2018-11-09,233,233
"Venomous River Inn","Welsh Honey Bitter",2018-11-09,156,156
"Iron Turkey",Hefeweizen,2018-11-09,158,158
"Oceanic Woodpecker Inn","Cauldron Brew",2018-11-09,236,236
"Sweet And Sour Castle Bar","Old Growth Imperial Stout",2018-11-09,151,151
"Dizzy Lemon Lounge","St. Stephen's Bock",2018-11-09,209,209
"Brave Olive Pub","The Captain's Porter",2018-11-09,230,230
"Hot Cup Inn","Cauldron DIPA",2018-11-09,208,208
"Lying Explorer Tavern","North Beach Ale",2018-11-09,204,204
"Nifty Branch Inn","Cauldron Brew",2018-11-09,158,158
"Hidden Table Brewpub","Kirner Pils Premium",2018-11-09,182,182
"Awful Salmon Bar","Kirner Pils Premium",2018-11-09,209,209
"Psychotic Seadog","Honey Fayre",2018-11-09,131,131
"Safe Palm Inn","Welsh Pride",2018-11-09,233,233
"Smelly Crane Tavern","Swamp Fox IPA",2018-11-09,208,208
"Empty Snapdragon Pub","Viven Porter",2018-11-09,183,183
"Dandy Cloud Bistro","Pacific Pilsner",2018-11-09,137,137
"Deep Lantern","Welsh Honey Bitter",2018-11-09,159,159
"Ugliest Pants Tavern","Imperial Stout",2018-11-09,207,207
"Gypsy Root Roadhouse","Kirner Pils Premium",2018-11-09,131,131
"Needy Mind Tavern","Pumpkin Ale",2018-11-09,129,129
"Perfect Rabbit Tavern","Caldera Oatmeal Stout",2018-11-09,211,211
"Fascinated Chick Pub","Kirner Pils Premium",2018-11-09,230,230
"Chubby Badger Pub","Code Blue",2018-11-09,210,210
"Spicy Cats Tavern","Pilot Rock Porter",2018-11-09,176,176
"Rich Tauren Bar",Megalodon,2018-11-09,209,209
"Foamy Cave","Schinderhannes Bock",2018-11-09,154,154
"Armed Pudding Bar","Imperial Stout",2018-11-09,188,188
"Hypnotic Gate Tavern","Welsh Pride",2018-11-09,227,227
"Jealous Fiddle Pub","Imperial Stout",2018-11-09,209,209
"Rainy Lime Tavern","The Captain's Porter",2018-11-09,204,204
"Thundering Table Inn","Emerald Ale",2018-11-09,135,135
"Admiral Benbow Inn","Caldera Ginger Beer",2018-11-09,234,234
"Outrageous Sailboat Inn","Nut Brown",2018-11-09,181,181
"Shattered Oak","Ballz Deep Double IPA",2018-11-09,182,182
"Courageous Lyre Bar","Swamp Fox IPA",2018-11-09,233,233
"Interesting Trumpet Inn","Leviathan Imperial Stout",2018-11-09,185,185
"Little Elixir Club","Dry Hop Red",2018-11-09,161,161
"Steel Yew","Swamp Fox IPA",2018-11-09,207,207
"Natural Leopard","Kirner Pils Premium",2018-11-09,135,135
"Wretched Grape Inn","Hop Hash",2018-11-09,160,160
"Oceanic Woodpecker Inn","North Beach Ale",2018-11-09,157,157
"Double Swan Tavern","The Highland Stagger",2018-11-09,185,185
"Venomous River Inn",Hefeweizen,2018-11-09,234,234
"Itchy Cheetah Bar","Telford Porter",2018-11-09,158,158
